GOAL_ID,MPN_ID
0hv80HaQAK,C-JYLJ
0hv81ZJQA0,RF_PPT3611
0hv81ZJQA0,C-0036W4
0hv81ZJQA0,3E/A
0hv81ZJQA0,C-00129J
0hv81ZJQA0,TM/A
0hv81ZJQA0,TL/A
0hv8zQ8QAK,FF/A
0hv8zQ8QAK,FH/A
0hv8zQ8QAK,P/A
0hv8zQ8QAK,3/A
0hv8zQ8QAK,MY/A
0hv8zQ8QAK,MN/A
0hv8zQ8QAK,626
0hv81ZJQA0,3P/A
0hv81ZJQA0,MU/A
0hv81ZJQA0,3/A
0hv81ZJQA0,MA/A
0hv81ZJQA0,RF_PP4KHU3
0hv81ZJQA0,3A/A
0hv81ZJQA0,MU/A
0hv81ZJQA0,6C/A
0hv80lAQAS,FH/A
0hv80lAQAS,MA/A
0hv80lAQAS,P/A
0hv80lAQAS,MH/A
0hv80lAQAS,MZ/A
0hv81PjQAK,F/A
0hv81PjQAK,3U/A
0hv81NmQAK,P/A
0hv81NmQAK,M/A
0hv81NmQAK,MN/A
0hv81NmQAK,RF_PP3A343
0hv81NmQAK,3/A
0hv81NgQAK,PE/A
0hv81NgQAK,PB/B
0hv81NgQAK,F/A
0hv80WUQA0,3H/A
0hv80WUQA0,RF_PPPTLD2
0hv80WUQA0,RF_PP3D126
0hv80WUQA0,9866
0hv80KrQAK,PP/A
0hv80KrQAK,MH/A
0hv81ZJQA0,3D/A
0hv81NlQAK,PU/A
0hv81NlQAK,PU/A
0hv80WUQA0,ML/A
0hv81ZJQA0,C-000M37
0hv81ZJQA0,C-002VR6
0hv81ZJQA0,T7420
